watch_id,brand,model,reference_number,reference_key,display_name,search_text,year,production_years,movement,case_material,case_size,condition,market_price_usd,market_price_source,market_price_updated_at,auction_price_usd,auction_house,auction_date,auction_lot_url,shop_sources,source_count,source_urls,data_quality,notes,updated_at
a_lange_s_hne_0140177643185,A. Lange & Söhne,,0140177643185,0140177643185,A. Lange & Söhne 0140177643185,A LANGE S HNE 0140177643185 0140177643185 A LANGE S HNE 0140177643185 40 MM,,,,,40 mm,,2902,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140177643185set,A. Lange & Söhne,,0140177643185-SET,0140177643185SET,A. Lange & Söhne 0140177643185-SET,A LANGE S HNE 0140177643185 SET 0140177643185SET A LANGE S HNE 0140177643185 SET 40 MM,,,,,40 mm,,3604,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,7,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140177814081set,A. Lange & Söhne,,0140177814081-SET,0140177814081SET,A. Lange & Söhne 0140177814081-SET,A LANGE S HNE 0140177814081 SET 0140177814081SET A LANGE S HNE 0140177814081 SET 40 MM,,,,,40 mm,,3344,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01635756840640782161,A. Lange & Söhne,,0163575684064-0782161,01635756840640782161,A. Lange & Söhne 0163575684064-0782161,A LANGE S HNE 0163575684064 0782161 01635756840640782161 A LANGE S HNE 0163575684064 0782161 43 MM,,,,,43 mm,,898,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0166776457294set,A. Lange & Söhne,,0166776457294-SET,0166776457294SET,A. Lange & Söhne 0166776457294-SET,A LANGE S HNE 0166776457294 SET 0166776457294SET A LANGE S HNE 0166776457294 SET 49 MM,,,,,49 mm,,3162,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0167377394084,A. Lange & Söhne,,0167377394084,0167377394084,A. Lange & Söhne 0167377394084,A LANGE S HNE 0167377394084 0167377394084 A LANGE S HNE 0167377394084 40 MM,,,,,40 mm,,2684,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0169077804085set,A. Lange & Söhne,,0169077804085-SET,0169077804085SET,A. Lange & Söhne 0169077804085-SET,A LANGE S HNE 0169077804085 SET 0169077804085SET A LANGE S HNE 0169077804085 SET 36 5 MM,,,,,36.5 mm,,6214,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01733753384540782401peb,A. Lange & Söhne,,01733753384540782401PEB,01733753384540782401PEB,A. Lange & Söhne 01733753384540782401PEB,A LANGE S HNE 01733753384540782401PEB 01733753384540782401PEB A LANGE S HNE 01733753384540782401PEB 44 MM,,,,,44 mm,,1785,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01733764240350752185fc,A. Lange & Söhne,,0173376424035-0752185FC,01733764240350752185FC,A. Lange & Söhne 0173376424035-0752185FC,A LANGE S HNE 0173376424035 0752185FC 01733764240350752185FC A LANGE S HNE 0173376424035 0752185FC,,,,,,,1736,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173376694084,A. Lange & Söhne,,0173376694084,0173376694084,A. Lange & Söhne 0173376694084,A LANGE S HNE 0173376694084 0173376694084 A LANGE S HNE 0173376694084 44 MM,,,,,44 mm,,1179,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
